id,file,s,t,C,W
228,Grafi/grafo005.gr,248266,133636,70250,54827
229,Grafi/grafo005.gr,248266,133636,75895,56323
230,Grafi/grafo005.gr,248266,133636,76239,62989
231,Grafi/grafo005.gr,249922,246810,76264,42057
232,Grafi/grafo005.gr,249922,246810,78668,48788
233,Grafi/grafo005.gr,249922,246810,97513,51277
234,Grafi/grafo005.gr,249922,246810,84131,56969
235,Grafi/grafo005.gr,249922,246810,94914,64383
236,Grafi/grafo005.gr,250057,251855,70770,42274
237,Grafi/grafo005.gr,250057,251855,98992,48166
238,Grafi/grafo005.gr,250057,251855,76231,53878
239,Grafi/grafo005.gr,250057,251855,87524,57355
240,Grafi/grafo005.gr,250057,251855,81448,64755
241,Grafi/grafo005.gr,133674,252137,75440,41699
242,Grafi/grafo005.gr,133674,252137,84176,49704
243,Grafi/grafo005.gr,133674,252137,90135,54081
244,Grafi/grafo005.gr,133674,252137,74070,58051
245,Grafi/grafo005.gr,133674,252137,98085,60610
246,Grafi/grafo005.gr,250371,251634,102462,44983
247,Grafi/grafo005.gr,250371,251634,86471,45165
248,Grafi/grafo005.gr,250371,251634,103155,51263
249,Grafi/grafo005.gr,250371,251634,88458,57336
250,Grafi/grafo005.gr,250371,251634,94420,64199
251,Grafi/grafo006.gr,246024,250920,70144,41130
252,Grafi/grafo006.gr,246024,250920,93100,45624
253,Grafi/grafo006.gr,246024,250920,97375,52988
254,Grafi/grafo006.gr,246024,250920,88128,58946
255,Grafi/grafo006.gr,246024,250920,82570,61226
256,Grafi/grafo006.gr,250756,253334,78505,44199
257,Grafi/grafo006.gr,250756,253334,92342,45054
258,Grafi/grafo006.gr,250756,253334,73780,52653
259,Grafi/grafo006.gr,250756,253334,92891,57945
260,Grafi/grafo006.gr,250756,253334,98914,63653
261,Grafi/grafo006.gr,242356,246051,87631,41735
262,Grafi/grafo006.gr,242356,246051,89101,48659
263,Grafi/grafo006.gr,242356,246051,82038,51042
264,Grafi/grafo006.gr,242356,246051,98866,57871
265,Grafi/grafo006.gr,242356,246051,90101,64608
266,Grafi/grafo006.gr,252269,250750,82764,42812
267,Grafi/grafo006.gr,252269,250750,95953,45323
268,Grafi/grafo006.gr,252269,250750,88439,54996
269,Grafi/grafo006.gr,252269,250750,101767,55976
270,Grafi/grafo006.gr,252269,250750,76007,62834
271,Grafi/grafo006.gr,250888,251981,71615,43602
272,Grafi/grafo006.gr,250888,251981,88875,45889
273,Grafi/grafo006.gr,250888,251981,99702,52994
274,Grafi/grafo006.gr,250888,251981,75447,55365
275,Grafi/grafo006.gr,250888,251981,94865,64243
276,Grafi/grafo006.gr,249374,246622,83332,43327
277,Grafi/grafo006.gr,249374,246622,75801,47605
278,Grafi/grafo006.gr,249374,246622,73843,54149
279,Grafi/grafo006.gr,249374,246622,82083,57689
280,Grafi/grafo006.gr,249374,246622,85706,62879
281,Grafi/grafo006.gr,250096,249717,84981,43150
282,Grafi/grafo006.gr,250096,249717,70647,45568
283,Grafi/grafo006.gr,250096,249717,74778,50427
284,Grafi/grafo006.gr,250096,249717,91520,55490
285,Grafi/grafo006.gr,250096,249717,76276,63925
286,Grafi/grafo006.gr,251210,252226,96399,40924
287,Grafi/grafo006.gr,251210,252226,84646,45303
288,Grafi/grafo006.gr,251210,252226,90045,52518
289,Grafi/grafo006.gr,251210,252226,87379,55103
290,Grafi/grafo006.gr,251210,252226,96078,63012
291,Grafi/grafo006.gr,253312,261748,73484,44409
292,Grafi/grafo006.gr,253312,261748,99559,47751
293,Grafi/grafo006.gr,253312,261748,101953,54429
294,Grafi/grafo006.gr,253312,261748,80058,57076
295,Grafi/grafo006.gr,253312,261748,71862,61114
296,Grafi/grafo006.gr,250290,261740,103173,43146
297,Grafi/grafo006.gr,250290,261740,94887,49121
298,Grafi/grafo006.gr,250290,261740,82103,51012
299,Grafi/grafo006.gr,250290,261740,91400,56602
300,Grafi/grafo006.gr,250290,261740,93975,60800
301,Grafi/grafo007.gr,249546,249534,100760,43258
302,Grafi/grafo007.gr,249546,249534,84379,45771
303,Grafi/grafo007.gr,249546,249534,91724,53628
304,Grafi/grafo007.gr,249546,249534,98177,56715
305,Grafi/grafo007.gr,249546,249534,89911,63556
306,Grafi/grafo007.gr,252429,252189,79084,44131
307,Grafi/grafo007.gr,252429,252189,77354,46167
308,Grafi/grafo007.gr,252429,252189,89981,50301
309,Grafi/grafo007.gr,252429,252189,79451,57279
310,Grafi/grafo007.gr,252429,252189,74209,62568
311,Grafi/grafo007.gr,249926,252210,100886,43669
312,Grafi/grafo007.gr,249926,252210,93549,48830
313,Grafi/grafo007.gr,249926,252210,95975,52463
314,Grafi/grafo007.gr,249926,252210,97984,59324
315,Grafi/grafo007.gr,249926,252210,85427,61129
316,Grafi/grafo007.gr,246992,252569,102468,40993
317,Grafi/grafo007.gr,246992,252569,79997,48161
318,Grafi/grafo007.gr,246992,252569,90264,54804
319,Grafi/grafo007.gr,246992,252569,71774,57253
320,Grafi/grafo007.gr,246992,252569,103331,63621
321,Grafi/grafo007.gr,249681,251976,90659,44907
322,Grafi/grafo007.gr,249681,251976,93778,47737
323,Grafi/grafo007.gr,249681,251976,101657,54198
324,Grafi/grafo007.gr,249681,251976,77186,59699
325,Grafi/grafo007.gr,249681,251976,88777,60297
326,Grafi/grafo007.gr,246056,250295,76773,41570
327,Grafi/grafo007.gr,246056,250295,97553,48645
328,Grafi/grafo007.gr,246056,250295,93727,51189
329,Grafi/grafo007.gr,246056,250295,89283,59609
330,Grafi/grafo007.gr,246056,250295,85670,61840
331,Grafi/grafo007.gr,251849,251069,97030,42317
332,Grafi/grafo007.gr,251849,251069,99256,47409
333,Grafi/grafo007.gr,251849,251069,81910,51185
334,Grafi/grafo007.gr,251849,251069,74961,58914
335,Grafi/grafo007.gr,251849,251069,96429,61528
336,Grafi/grafo007.gr,241990,250251,97814,42843
337,Grafi/grafo007.gr,241990,250251,104583,45715
338,Grafi/grafo007.gr,241990,250251,91754,51556
339,Grafi/grafo007.gr,241990,250251,86137,57959
340,Grafi/grafo007.gr,241990,250251,96649,61212
341,Grafi/grafo007.gr,250016,252519,74142,43274
342,Grafi/grafo007.gr,250016,252519,73814,48430
343,Grafi/grafo007.gr,250016,252519,76548,50682
344,Grafi/grafo007.gr,250016,252519,76386,56185
345,Grafi/grafo007.gr,250016,252519,93077,64424
346,Grafi/grafo007.gr,253334,246683,90964,40724
347,Grafi/grafo007.gr,253334,246683,86669,47221
348,Grafi/grafo007.gr,253334,246683,91653,50107
349,Grafi/grafo007.gr,253334,246683,92519,59180
350,Grafi/grafo007.gr,253334,246683,95062,63571
351,Grafi/grafo008.gr,246992,250118,84337,41713
352,Grafi/grafo008.gr,246992,250118,93991,47871
353,Grafi/grafo008.gr,246992,250118,86862,53596
354,Grafi/grafo008.gr,246992,250118,83904,56442
355,Grafi/grafo008.gr,246992,250118,82951,62897
356,Grafi/grafo008.gr,249574,250962,87517,40853
357,Grafi/grafo008.gr,249574,250962,86774,45914
358,Grafi/grafo008.gr,249574,250962,81770,51536
359,Grafi/grafo008.gr,249574,250962,91327,58849
360,Grafi/grafo008.gr,249574,250962,91214,63948
361,Grafi/grafo008.gr,251083,246227,83751,40502
362,Grafi/grafo008.gr,251083,246227,70136,46333
363,Grafi/grafo008.gr,251083,246227,79450,53377
364,Grafi/grafo008.gr,251083,246227,82278,55223
365,Grafi/grafo008.gr,251083,246227,70184,64546
366,Grafi/grafo008.gr,252440,242561,96067,41863
367,Grafi/grafo008.gr,252440,242561,95323,48478
368,Grafi/grafo008.gr,252440,242561,81030,50879
369,Grafi/grafo008.gr,252440,242561,100978,58812
370,Grafi/grafo008.gr,252440,242561,77467,63058
371,Grafi/grafo008.gr,252469,246770,92581,44281
372,Grafi/grafo008.gr,252469,246770,76506,49345
373,Grafi/grafo008.gr,252469,246770,80522,54179
374,Grafi/grafo008.gr,252469,246770,104115,59071
375,Grafi/grafo008.gr,252469,246770,81051,62008
376,Grafi/grafo008.gr,249883,246180,102985,42889
377,Grafi/grafo008.gr,249883,246180,98514,48409
378,Grafi/grafo008.gr,249883,246180,80622,52617
379,Grafi/grafo008.gr,249883,246180,97545,57911
380,Grafi/grafo008.gr,249883,246180,97488,60323
381,Grafi/grafo008.gr,250770,247095,80945,40369
382,Grafi/grafo008.gr,250770,247095,97239,47993
383,Grafi/grafo008.gr,250770,247095,96804,54987
384,Grafi/grafo008.gr,250770,247095,89351,56457
385,Grafi/grafo008.gr,250770,247095,76044,64064
386,Grafi/grafo008.gr,246554,250203,94255,40067
387,Grafi/grafo008.gr,246554,250203,72780,47138
388,Grafi/grafo008.gr,246554,250203,74706,54304
389,Grafi/grafo008.gr,246554,250203,77039,55356
390,Grafi/grafo008.gr,246554,250203,93029,64900
391,Grafi/grafo008.gr,252646,246860,86466,42209
392,Grafi/grafo008.gr,252646,246860,82260,47456
393,Grafi/grafo008.gr,252646,246860,101016,53318
394,Grafi/grafo008.gr,252646,246860,99229,55628
395,Grafi/grafo008.gr,252646,246860,89884,61771
396,Grafi/grafo008.gr,248178,250718,98985,43804
397,Grafi/grafo008.gr,248178,250718,100224,47822
398,Grafi/grafo008.gr,248178,250718,99462,51076
399,Grafi/grafo008.gr,248178,250718,90455,56404
400,Grafi/grafo008.gr,248178,250718,103322,64843
401,Grafi/grafo009.gr,252278,246683,97520,41051
402,Grafi/grafo009.gr,252278,246683,74758,45939
403,Grafi/grafo009.gr,252278,246683,90086,53210
404,Grafi/grafo009.gr,252278,246683,102276,57830
405,Grafi/grafo009.gr,252278,246683,102616,60879
406,Grafi/grafo009.gr,242544,241284,76382,43441
407,Grafi/grafo009.gr,242544,241284,77561,49252
408,Grafi/grafo009.gr,242544,241284,89538,51834
409,Grafi/grafo009.gr,242544,241284,78254,55918
410,Grafi/grafo009.gr,242544,241284,87147,60530
411,Grafi/grafo009.gr,250538,250915,101757,43410
412,Grafi/grafo009.gr,250538,250915,101823,49462
413,Grafi/grafo009.gr,250538,250915,99103,52412
414,Grafi/grafo009.gr,250538,250915,78874,56213
415,Grafi/grafo009.gr,250538,250915,95214,60097
416,Grafi/grafo009.gr,263782,249563,100595,43093
417,Grafi/grafo009.gr,263782,249563,91933,48319
418,Grafi/grafo009.gr,263782,249563,82493,53687
419,Grafi/grafo009.gr,263782,249563,100165,56760
420,Grafi/grafo009.gr,263782,249563,73924,61026
421,Grafi/grafo009.gr,133326,251234,104767,42922
422,Grafi/grafo009.gr,133326,251234,71563,48165
423,Grafi/grafo009.gr,133326,251234,84803,54472
424,Grafi/grafo009.gr,133326,251234,76565,59917
425,Grafi/grafo009.gr,133326,251234,103638,63445
426,Grafi/grafo009.gr,249846,246182,81585,41650
427,Grafi/grafo009.gr,249846,246182,83263,45833
428,Grafi/grafo009.gr,249846,246182,102832,51346
429,Grafi/grafo009.gr,249846,246182,90661,58306
430,Grafi/grafo009.gr,249846,246182,86916,63763
431,Grafi/grafo009.gr,246406,250421,89745,41403
432,Grafi/grafo009.gr,246406,250421,97227,46005
433,Grafi/grafo009.gr,246406,250421,79096,53766
434,Grafi/grafo009.gr,246406,250421,82408,55925
435,Grafi/grafo009.gr,246406,250421,87472,64992
436,Grafi/grafo009.gr,251148,252122,99031,43292
437,Grafi/grafo009.gr,251148,252122,70002,45297
438,Grafi/grafo009.gr,251148,252122,89682,50011
439,Grafi/grafo009.gr,251148,252122,96266,59616
440,Grafi/grafo009.gr,251148,252122,83843,62601
441,Grafi/grafo009.gr,249546,252128,104283,44091
442,Grafi/grafo009.gr,249546,252128,89732,49381
443,Grafi/grafo009.gr,249546,252128,91947,53479
444,Grafi/grafo009.gr,249546,252128,81339,58842
445,Grafi/grafo009.gr,249546,252128,99095,64556
446,Grafi/grafo009.gr,246803,253394,76127,42051
447,Grafi/grafo009.gr,246803,253394,91547,47823
448,Grafi/grafo009.gr,246803,253394,87724,50112
449,Grafi/grafo009.gr,246803,253394,87605,55941
450,Grafi/grafo009.gr,246803,253394,87938,60808
451,Grafi/grafo010.gr,263482,250606,98168,41817
452,Grafi/grafo010.gr,263482,250606,71953,46629
453,Grafi/grafo010.gr,263482,250606,70394,54151
454,Grafi/grafo010.gr,263482,250606,73754,56963
455,Grafi/grafo010.gr,263482,250606,80717,62671
456,Grafi/grafo010.gr,242486,242576,73253,41865
457,Grafi/grafo010.gr,242486,242576,104394,47974
458,Grafi/grafo010.gr,242486,242576,79773,51579
459,Grafi/grafo010.gr,242486,242576,80535,57782
460,Grafi/grafo010.gr,242486,242576,71866,62990
461,Grafi/grafo010.gr,252513,249598,92157,42628
462,Grafi/grafo010.gr,252513,249598,71060,47434
463,Grafi/grafo010.gr,252513,249598,92306,50429
464,Grafi/grafo010.gr,252513,249598,84388,58056
465,Grafi/grafo010.gr,252513,249598,79444,61951
466,Grafi/grafo010.gr,242438,261600,104063,42261
467,Grafi/grafo010.gr,242438,261600,90427,48942
468,Grafi/grafo010.gr,242438,261600,84412,52585
469,Grafi/grafo010.gr,242438,261600,90578,57389
470,Grafi/grafo010.gr,242438,261600,93091,61491
471,Grafi/grafo010.gr,250294,250835,85461,42875
472,Grafi/grafo010.gr,250294,250835,79520,47599
473,Grafi/grafo010.gr,250294,250835,74901,50689
474,Grafi/grafo010.gr,250294,250835,72237,57727
475,Grafi/grafo010.gr,250294,250835,86723,63318
476,Grafi/grafo010.gr,244828,253419,71388,42161
477,Grafi/grafo010.gr,244828,253419,85109,47063
478,Grafi/grafo010.gr,244828,253419,86616,53862
479,Grafi/grafo010.gr,244828,253419,81874,56838
480,Grafi/grafo010.gr,244828,253419,75697,60463
481,Grafi/grafo010.gr,251562,246207,101333,40064
482,Grafi/grafo010.gr,251562,246207,90626,49390
483,Grafi/grafo010.gr,251562,246207,81067,51752
484,Grafi/grafo010.gr,251562,246207,73004,57226
485,Grafi/grafo010.gr,251562,246207,72466,61524
486,Grafi/grafo010.gr,253303,249987,91884,43749
487,Grafi/grafo010.gr,253303,249987,82712,45736
488,Grafi/grafo010.gr,253303,249987,98323,50779
489,Grafi/grafo010.gr,253303,249987,76234,59146
490,Grafi/grafo010.gr,253303,249987,89001,62469
491,Grafi/grafo010.gr,252117,246453,82684,43238
492,Grafi/grafo010.gr,252117,246453,85411,47202
493,Grafi/grafo010.gr,252117,246453,78365,51272
494,Grafi/grafo010.gr,252117,246453,70237,58649
495,Grafi/grafo010.gr,252117,246453,72431,64285
496,Grafi/grafo010.gr,253024,251280,86417,42911
497,Grafi/grafo010.gr,253024,251280,90503,45140
498,Grafi/grafo010.gr,253024,251280,83572,54341
499,Grafi/grafo010.gr,253024,251280,79371,58707
500,Grafi/grafo010.gr,253024,251280,97277,60528
501,Grafi/grafo011.gr,145879,146063,78571,43535
502,Grafi/grafo011.gr,145879,146063,82416,48868
503,Grafi/grafo011.gr,145879,146063,100738,54227
504,Grafi/grafo011.gr,145879,146063,73291,59849
505,Grafi/grafo011.gr,145879,146063,80776,60106
506,Grafi/grafo011.gr,145528,151346,70315,40548
507,Grafi/grafo011.gr,145528,151346,93978,45084
508,Grafi/grafo011.gr,145528,151346,91706,52175
509,Grafi/grafo011.gr,145528,151346,94636,57026
510,Grafi/grafo011.gr,145528,151346,78308,60822
511,Grafi/grafo011.gr,145415,144591,102645,40398
512,Grafi/grafo011.gr,145415,144591,80310,46684
513,Grafi/grafo011.gr,145415,144591,94770,51262
514,Grafi/grafo011.gr,145415,144591,99090,56789
515,Grafi/grafo011.gr,145415,144591,77307,62548
516,Grafi/grafo011.gr,204653,144783,76269,43008
517,Grafi/grafo011.gr,204653,144783,93616,46820
